stationReference,value,highestRecentLevel
3240TH,0.20770833333333336,3.501
3245TH,0.6122395833333333,2.461
3247TH,0.3813645833333333,3.05
3269TH,0.37671875,
3270TH,0.15135416666666665,2.735
3280TH,1.18653125,3.735
3286TH,1.1149895833333334,3.46
3290TH,1.5615833333333333,3.24
3345TH,0.16963541666666668,
3346TH,0.036333333333333336,
3350TH,0.3809166666666666,0.73
3369TH,1.0734791666666668,1.975
3390TH,0.19801041666666666,1.024
3401TH,0.07736458333333333,0.978
3422SO,0.23301063829787236,
3423SO,0.24520212765957447,
3609TH,0.09829166666666667,1.161
3625TH,0.1208125,1.599
3626TH,0.018281250000000002,1.431
3629TH,0.039322916666666666,0.599
3635TH,0.4444895833333333,2.05
3650TH,0.13897916666666668,1.223
3660TH,0.07058333333333333,1.127
3680TH,0.10140624999999999,0.693
3695TH,0.17759375,
3697TH,1.804125,
3803TH,6.7737083333333326,
3804TH,0.2653125,1.006
3806TH,0.2784166666666667,1.631
3815TH,0.7920833333333334,1.844
3820TH,0.15725,1.303
3822TH,0.7648854166666667,1.304
3823TH,0.08662500000000001,0.976
3826TH,0.65834375,1.885
3829TH,0.12430208333333333,1.822
3838TH,0.15894791666666666,1.593
3839TH,0.081125,1.172
3850TH,0.08973958333333333,1.744
3870TH,0.16622916666666668,1.329
3880TH,0.8548229166666667,2.666
3892TH,0.25005208333333334,
38_BRENT_RES,-1.070295652173913,
4001,0.3337291666666667,2.076
4002,0.12120833333333332,
4003,0.28603125,3.007
4006,1.0798645833333333,2.678
4007,0.7048125,3.236
4008,0.24296874999999998,1.659
4009,1.2417291666666668,4.906
4011,0.6244583333333333,3.322
4012,0.7477916666666666,2.506
4014,0.5028125,2.62
4015,1.2455520833333333,2.479
4018,0.5929479166666666,2.522
4019,1.19865625,3.701
4020TH,0.97853125,2.226
4022,0.9776354166666666,3.719
4023,0.3609583333333333,1.008
4024,1.4404166666666667,3.273
4026,0.19879166666666667,2.567
4031,0.19148958333333332,1.884
4032,0.24688541666666666,1.047
4033,0.195875,
4036,0.8570416666666666,1.846
4037,0.8663124999999999,3.489
4039,0.11634375000000001,2.025
4040,0.16557291666666665,1.251
4040TH,0.9744062499999999,1.745
4041,0.23926041666666667,1.554
4043,1.11190625,3.383
4044,0.16248958333333333,
4045TH,0.9401354166666667,2.096
4046,0.39158333333333334,1.049
4048,0.31105208333333334,2.635
4049,0.255625,1.289
4050,0.33796875,
4050TH,0.5259375000000001,1.436
4052,0.32745833333333335,1.274
4053,0.28540625000000003,2.087
4055,0.20375,1.822
4056,0.18889583333333335,2.217
4058,0.17302083333333332,1.489
4060,0.1769375,1.224
4061,0.37122916666666667,2.546
4063TH,0.3920729166666667,
4064,0.081625,2.113
4066,0.18246874999999999,1.437
4067,0.6248854166666666,2.357
4069,0.8807708333333334,2.678
4070TH,0.7704479166666668,2.286
4071,0.3388229166666667,2.429
4072,0.20948958333333334,1.896
4074,0.45564583333333336,1.262
4078,0.8298020833333334,2.829
4079,0.25240625,
4080,0.3685104166666667,1.822
4080TH,0.21223958333333334,1.456
4081,0.8766666666666666,3.105
4082,0.5966354166666666,2.638
4083,0.91428125,2.651
4084,0.47461458333333334,
4085,0.6242187499999999,2.009
4086,0.6736145833333333,2.761
4087,0.5517708333333333,2.597
4087TH,0.21260416666666668,
4088,0.6948333333333333,
4091,0.7316875,1.947
4091TH,1.2201250000000001,1.836
4093,0.9676979166666667,2.113
4094,0.705375,2.258
4095,0.5078229166666667,
4098,1.9947847222222224,7.23
4099,1.7169687500000002,5.412
4101,0.30907291666666664,
4105,0.25771875,
4115,0.28696875,1.567
4116,0.2824375,1.007
4117,0.5776145833333333,
4118,0.4728645833333333,0.743
4119,0.17800000000000002,
4121,0.29846875,1.665
4122,0.4411354166666667,
4123,0.6778124999999999,
4124,0.7259479166666667,3.404
4125,0.15754166666666666,
4126,1.0229791666666668,4.108
4127,0.9014166666666666,
4129,0.2793333333333334,1.622
4131,1.1235625,3.558
4139TH,0.08609375000000001,0.365
4142,0.3538645833333333,2.614
4143,0.37265624999999997,1.481
4145,0.294375,1.746
4146,0.09871875000000001,1.725
4147,0.30811458333333336,
4148,0.17204166666666665,
4149,0.73309375,
4150TH,0.3347083333333334,1.483
4151TH,-0.008020833333333333,
4153,1.2955625,
4155,0.5503020833333333,2.203
4158,0.8101145833333333,2.411
4159,0.33234375,
4159TH,0.1815,0.459
4160,0.047906250000000004,
4161,0.8172604166666666,3.085
4163,0.0579375,1.214
4164,0.6431250000000001,1.004
4165,0.2654166666666667,
4165TH,1.3057395833333334,1.637
4166,0.6441458333333333,
4167,0.27646875000000004,
4168,0.39487500000000003,
4169,0.20614583333333333,
4169TH,-0.0005520833333333334,
4170,0.2865729166666667,
4171,0.4383333333333333,
4171TH,0.15638541666666667,
4172,0.2844270833333333,1.65
4173,0.27677083333333335,
4173TH,-0.012354166666666666,
4174,0.1909375,0.568
4175,0.18626041666666668,
4175TH,-0.010739583333333332,
4176,0.22959375,
4177,0.6628125,
4177TH,0.042093750000000006,
4179,0.4543013698630137,
4180,0.3264270833333333,
4180_w1TH,0.3695833333333334,1.174
4180_w2TH,0.19613541666666667,0.622
4181,0.21055208333333333,
4182,0.23476041666666667,
4182TH,0.9460624999999999,1.893
4183,0.24239583333333334,
4186,1.19571875,3.02
4186TH,0.8617916666666666,1.961
4187,0.04122916666666667,
4188,0.20328125,
4188TH,0.20521875,
4189,0.59109375,
4189TH,0.024895833333333336,1.429
4190,0.3640729166666667,1.286
4191,0.6347083333333333,
4192,0.6396666666666667,2.264
4192TH,1.1518020833333333,2.435
4193,1.5869166666666665,
